response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0929,0.0463,0.0440,0.0003,0.0456,0.0007,500,0.0004
0.0136,0.0000,0.0000,0.0001,0.0134,0.0001,500,0.0934
0.0108,0.0000,0.0000,0.0000,0.0106,0.0001,500,0.1070
0.0124,0.0000,0.0000,0.0000,0.0122,0.0001,500,0.1178
0.0102,0.0000,0.0000,0.0000,0.0100,0.0001,500,0.1302
0.0065,0.0000,0.0000,0.0001,0.0063,0.0001,500,0.1404
0.0062,0.0000,0.0000,0.0000,0.0060,0.0001,500,0.1469
0.0069,0.0000,0.0000,0.0000,0.0065,0.0001,500,0.1531
0.0063,0.0000,0.0000,0.0000,0.0060,0.0001,500,0.1600
0.0055,0.0000,0.0000,0.0000,0.0053,0.0001,500,0.1662
0.0100,0.0000,0.0000,0.0000,0.0099,0.0001,500,0.1717
0.0079,0.0000,0.0000,0.0000,0.0074,0.0002,500,0.1817
0.0096,0.0000,0.0000,0.0000,0.0094,0.0001,500,0.1896
0.0062,0.0000,0.0000,0.0000,0.0060,0.0001,500,0.1992
0.0057,0.0000,0.0000,0.0000,0.0056,0.0001,500,0.2054
0.0049,0.0000,0.0000,0.0000,0.0046,0.0001,500,0.2112
0.0068,0.0000,0.0000,0.0001,0.0066,0.0001,500,0.2161
0.0060,0.0000,0.0000,0.0000,0.0058,0.0001,500,0.2229
0.0060,0.0000,0.0000,0.0001,0.0055,0.0001,500,0.2289
0.0050,0.0000,0.0000,0.0000,0.0048,0.0001,500,0.2350
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,500,0.2400
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,500,0.2467
0.0063,0.0000,0.0000,0.0001,0.0060,0.0001,500,0.2526
0.0058,0.0000,0.0000,0.0001,0.0056,0.0001,500,0.2589
0.0055,0.0000,0.0000,0.0001,0.0052,0.0001,500,0.2647
0.0056,0.0000,0.0000,0.0001,0.0053,0.0001,500,0.2702
0.0063,0.0000,0.0000,0.0000,0.0061,0.0001,500,0.2758
0.0058,0.0000,0.0000,0.0000,0.0056,0.0001,500,0.2821
0.0064,0.0000,0.0000,0.0002,0.0061,0.0001,500,0.2879
0.0060,0.0000,0.0000,0.0000,0.0058,0.0001,500,0.2943
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,500,0.3003
0.0053,0.0000,0.0000,0.0000,0.0050,0.0002,500,0.3073
0.0061,0.0000,0.0000,0.0000,0.0058,0.0001,500,0.3126
0.0056,0.0000,0.0000,0.0001,0.0053,0.0001,500,0.3186
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,500,0.3242
0.0064,0.0000,0.0000,0.0001,0.0062,0.0001,500,0.3312
0.0064,0.0000,0.0000,0.0000,0.0061,0.0001,500,0.3376
0.0067,0.0000,0.0000,0.0001,0.0065,0.0001,500,0.3441
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,500,0.3508
0.0080,0.0000,0.0000,0.0000,0.0077,0.0002,500,0.3566
0.0065,0.0000,0.0000,0.0000,0.0063,0.0001,500,0.3647
0.0053,0.0000,0.0000,0.0000,0.0050,0.0002,500,0.3712
0.0056,0.0000,0.0000,0.0000,0.0053,0.0001,500,0.3765
0.0059,0.0000,0.0000,0.0000,0.0056,0.0002,500,0.3820
0.0052,0.0000,0.0000,0.0000,0.0050,0.0001,500,0.3879
0.0066,0.0000,0.0000,0.0000,0.0064,0.0001,500,0.3931
0.0052,0.0000,0.0000,0.0000,0.0050,0.0001,500,0.3997
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,500,0.4049
0.0062,0.0000,0.0000,0.0000,0.0060,0.0001,500,0.4119
0.0062,0.0000,0.0000,0.0000,0.0056,0.0004,500,0.4181
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,500,0.4243
0.0063,0.0000,0.0000,0.0000,0.0060,0.0002,500,0.4310
0.0082,0.0000,0.0000,0.0000,0.0080,0.0001,500,0.4373
0.0060,0.0000,0.0000,0.0000,0.0058,0.0001,500,0.4456
0.0058,0.0000,0.0000,0.0000,0.0054,0.0003,500,0.4515
0.0054,0.0000,0.0000,0.0000,0.0052,0.0001,500,0.4573
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,500,0.4628
0.0054,0.0000,0.0000,0.0000,0.0051,0.0001,500,0.4687
0.0056,0.0000,0.0000,0.0000,0.0054,0.0001,500,0.4741
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,500,0.4797
0.0054,0.0000,0.0000,0.0000,0.0053,0.0001,500,0.4864
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,500,0.4919
0.0055,0.0000,0.0000,0.0000,0.0053,0.0001,500,0.4978
0.0055,0.0000,0.0000,0.0000,0.0053,0.0002,500,0.5033
0.0051,0.0000,0.0000,0.0000,0.0050,0.0001,500,0.5088
0.0057,0.0000,0.0000,0.0000,0.0055,0.0001,500,0.5140
0.0061,0.0000,0.0000,0.0001,0.0058,0.0001,500,0.5197
0.0057,0.0000,0.0000,0.0000,0.0055,0.0001,500,0.5257
0.0054,0.0000,0.0000,0.0000,0.0052,0.0001,500,0.5315
0.0058,0.0000,0.0000,0.0000,0.0056,0.0001,500,0.5368
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,500,0.5426
0.0064,0.0000,0.0000,0.0000,0.0062,0.0001,500,0.5499
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,500,0.5563
0.0069,0.0000,0.0000,0.0000,0.0067,0.0001,500,0.5635
0.0065,0.0000,0.0000,0.0000,0.0062,0.0001,500,0.5704
0.0075,0.0000,0.0000,0.0000,0.0073,0.0001,500,0.5769
0.0069,0.0000,0.0000,0.0000,0.0067,0.0001,500,0.5844
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,500,0.5913
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,500,0.5972
0.0059,0.0000,0.0000,0.0000,0.0058,0.0001,500,0.6035
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,500,0.6094
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,500,0.6162
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,500,0.6229
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,500,0.6294
0.0060,0.0000,0.0000,0.0000,0.0059,0.0001,500,0.6357
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,500,0.6417
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,500,0.6484
0.0064,0.0000,0.0000,0.0000,0.0062,0.0001,500,0.6559
0.0066,0.0000,0.0000,0.0000,0.0064,0.0001,500,0.6624
0.0069,0.0000,0.0000,0.0000,0.0066,0.0001,500,0.6690
0.0076,0.0000,0.0000,0.0000,0.0074,0.0001,500,0.6759
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,500,0.6834
0.0074,0.0000,0.0000,0.0000,0.0071,0.0001,500,0.6903
0.0069,0.0000,0.0000,0.0000,0.0067,0.0001,500,0.6976
0.0066,0.0000,0.0000,0.0000,0.0062,0.0004,500,0.7045
0.0078,0.0000,0.0000,0.0001,0.0076,0.0001,500,0.7112
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,500,0.7189
0.0079,0.0000,0.0000,0.0001,0.0075,0.0003,500,0.7260
0.0074,0.0000,0.0000,0.0001,0.0072,0.0001,500,0.7339
0.0076,0.0000,0.0000,0.0000,0.0073,0.0001,500,0.7413
0.0076,0.0000,0.0000,0.0000,0.0074,0.0001,500,0.7489
0.0081,0.0000,0.0000,0.0001,0.0079,0.0001,500,0.7566
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,500,0.7647
0.0073,0.0000,0.0000,0.0000,0.0071,0.0001,500,0.7724
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,500,0.7798
0.0083,0.0000,0.0000,0.0001,0.0080,0.0001,500,0.7877
0.0080,0.0000,0.0000,0.0000,0.0077,0.0002,500,0.7960
0.0073,0.0000,0.0000,0.0000,0.0071,0.0001,500,0.8040
0.0066,0.0000,0.0000,0.0000,0.0062,0.0003,500,0.8114
0.0076,0.0000,0.0000,0.0001,0.0073,0.0001,500,0.8180
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,500,0.8256
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,500,0.8342
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,500,0.8411
0.0066,0.0000,0.0000,0.0001,0.0063,0.0001,500,0.8483
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,500,0.8549
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,500,0.8621
0.0101,0.0000,0.0000,0.0001,0.0097,0.0001,500,0.8691
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,500,0.8792
0.0061,0.0000,0.0000,0.0000,0.0059,0.0001,500,0.8860
0.0083,0.0000,0.0000,0.0002,0.0080,0.0001,500,0.8921
0.0072,0.0000,0.0000,0.0002,0.0068,0.0001,500,0.9004
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,500,0.9076
0.0075,0.0000,0.0000,0.0000,0.0073,0.0001,500,0.9155
0.0069,0.0000,0.0000,0.0000,0.0067,0.0001,500,0.9230
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,500,0.9299
0.0074,0.0000,0.0000,0.0001,0.0071,0.0001,500,0.9369
0.0082,0.0000,0.0000,0.0000,0.0080,0.0001,500,0.9443
0.0070,0.0000,0.0000,0.0001,0.0068,0.0001,500,0.9526
0.0079,0.0000,0.0000,0.0000,0.0075,0.0003,500,0.9596
0.0080,0.0000,0.0000,0.0000,0.0078,0.0001,500,0.9675
0.0063,0.0000,0.0000,0.0001,0.0061,0.0001,500,0.9755
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,500,0.9818
0.0088,0.0000,0.0000,0.0000,0.0086,0.0001,500,0.9886
0.0102,0.0000,0.0000,0.0000,0.0100,0.0001,500,0.9974
0.0106,0.0000,0.0000,0.0001,0.0103,0.0001,500,1.0076
0.0121,0.0000,0.0000,0.0000,0.0119,0.0001,500,1.0182
0.0089,0.0000,0.0000,0.0000,0.0087,0.0001,500,1.0304
0.0102,0.0000,0.0000,0.0001,0.0099,0.0001,500,1.0393
0.0108,0.0000,0.0000,0.0000,0.0107,0.0001,500,1.0495
