response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.4590,0.4322,0.4311,0.0002,0.0256,0.0003,200,0.0008
0.0262,0.0000,0.0000,0.0001,0.0260,0.0001,200,0.4599
0.0283,0.0000,0.0000,0.0001,0.0280,0.0002,200,0.4861
0.0281,0.0000,0.0000,0.0001,0.0278,0.0001,200,0.5145
0.0297,0.0000,0.0000,0.0001,0.0295,0.0001,200,0.5425
0.0283,0.0000,0.0000,0.0001,0.0281,0.0001,200,0.5723
0.0295,0.0000,0.0000,0.0001,0.0292,0.0001,200,0.6006
0.0283,0.0000,0.0000,0.0001,0.0281,0.0001,200,0.6301
0.0302,0.0000,0.0000,0.0002,0.0299,0.0001,200,0.6584
0.0296,0.0000,0.0000,0.0000,0.0294,0.0001,200,0.6886
0.0288,0.0000,0.0000,0.0000,0.0284,0.0004,200,0.7182
0.0276,0.0000,0.0000,0.0001,0.0273,0.0001,200,0.7470
0.0278,0.0000,0.0000,0.0002,0.0275,0.0001,200,0.7746
0.0323,0.0000,0.0000,0.0001,0.0320,0.0002,200,0.8024
0.0295,0.0000,0.0000,0.0001,0.0292,0.0001,200,0.8347
0.0287,0.0000,0.0000,0.0001,0.0285,0.0001,200,0.8642
0.0303,0.0000,0.0000,0.0001,0.0301,0.0001,200,0.8929
0.0277,0.0000,0.0000,0.0002,0.0272,0.0002,200,0.9232
0.0273,0.0000,0.0000,0.0000,0.0271,0.0001,200,0.9509
0.0282,0.0000,0.0000,0.0000,0.0279,0.0001,200,0.9782
0.0296,0.0000,0.0000,0.0000,0.0294,0.0001,200,1.0063
0.0282,0.0000,0.0000,0.0001,0.0276,0.0002,200,1.0359
0.0254,0.0000,0.0000,0.0001,0.0252,0.0001,200,1.0641
0.0454,0.0000,0.0000,0.0000,0.0451,0.0002,200,1.0895
0.0287,0.0000,0.0000,0.0000,0.0285,0.0001,200,1.1349
0.0278,0.0000,0.0000,0.0001,0.0275,0.0001,200,1.1637
0.0288,0.0000,0.0000,0.0001,0.0286,0.0001,200,1.1915
0.0260,0.0000,0.0000,0.0001,0.0258,0.0001,200,1.2203
0.0297,0.0000,0.0000,0.0000,0.0295,0.0001,200,1.2463
0.0322,0.0000,0.0000,0.0000,0.0320,0.0001,200,1.2761
0.0342,0.0000,0.0000,0.0001,0.0340,0.0001,200,1.3082
0.0265,0.0000,0.0000,0.0001,0.0263,0.0001,200,1.3425
0.0260,0.0000,0.0000,0.0001,0.0253,0.0006,200,1.3690
0.0273,0.0000,0.0000,0.0001,0.0271,0.0001,200,1.3950
0.0277,0.0000,0.0000,0.0001,0.0275,0.0001,200,1.4223
0.0267,0.0000,0.0000,0.0001,0.0265,0.0001,200,1.4500
0.0514,0.0000,0.0000,0.0000,0.0512,0.0001,200,1.4767
0.0409,0.0000,0.0000,0.0001,0.0406,0.0002,200,1.5281
0.0276,0.0000,0.0000,0.0001,0.0273,0.0001,200,1.5690
0.0269,0.0000,0.0000,0.0001,0.0267,0.0001,200,1.5966
0.0255,0.0000,0.0000,0.0001,0.0252,0.0002,200,1.6236
0.0261,0.0000,0.0000,0.0002,0.0257,0.0002,200,1.6491
0.0266,0.0000,0.0000,0.0001,0.0263,0.0002,200,1.6752
0.0386,0.0000,0.0000,0.0001,0.0383,0.0001,200,1.7018
0.0232,0.0000,0.0000,0.0001,0.0229,0.0001,200,1.7404
0.0228,0.0000,0.0000,0.0001,0.0225,0.0001,200,1.7636
0.0203,0.0000,0.0000,0.0001,0.0200,0.0002,200,1.7864
0.0208,0.0000,0.0000,0.0001,0.0205,0.0001,200,1.8067
0.0226,0.0000,0.0000,0.0000,0.0224,0.0001,200,1.8275
0.0240,0.0000,0.0000,0.0001,0.0238,0.0001,200,1.8501
0.0241,0.0000,0.0000,0.0001,0.0238,0.0001,200,1.8742
0.0252,0.0000,0.0000,0.0000,0.0250,0.0001,200,1.8983
0.0274,0.0000,0.0000,0.0000,0.0270,0.0003,200,1.9235
0.0329,0.0000,0.0000,0.0001,0.0327,0.0001,200,1.9509
0.0468,0.0000,0.0000,0.0002,0.0465,0.0001,200,1.9838
0.0634,0.0000,0.0000,0.0001,0.0628,0.0002,200,2.0307
0.0217,0.0000,0.0000,0.0001,0.0214,0.0001,200,2.0940
0.0230,0.0000,0.0000,0.0001,0.0226,0.0003,200,2.1157
0.0249,0.0000,0.0000,0.0000,0.0247,0.0001,200,2.1387
0.0252,0.0000,0.0000,0.0000,0.0250,0.0001,200,2.1636
0.0253,0.0000,0.0000,0.0001,0.0251,0.0001,200,2.1888
0.0241,0.0000,0.0000,0.0001,0.0239,0.0001,200,2.2142
0.0311,0.0000,0.0000,0.0001,0.0309,0.0001,200,2.2383
0.0387,0.0000,0.0000,0.0001,0.0384,0.0002,200,2.2694
0.0303,0.0000,0.0000,0.0001,0.0299,0.0001,200,2.3081
0.0280,0.0000,0.0000,0.0001,0.0274,0.0005,200,2.3384
0.0280,0.0000,0.0000,0.0001,0.0278,0.0001,200,2.3664
0.0264,0.0000,0.0000,0.0001,0.0262,0.0001,200,2.3945
0.0244,0.0000,0.0000,0.0000,0.0243,0.0000,200,2.4209
0.0259,0.0000,0.0000,0.0000,0.0259,0.0000,200,2.4453
0.0312,0.0000,0.0000,0.0000,0.0311,0.0000,200,2.4712
0.0224,0.0000,0.0000,0.0000,0.0223,0.0000,200,2.5025
0.0189,0.0000,0.0000,0.0001,0.0187,0.0001,200,2.5249
0.0203,0.0000,0.0000,0.0000,0.0201,0.0001,200,2.5438
0.0214,0.0000,0.0000,0.0001,0.0210,0.0002,200,2.5641
0.0244,0.0000,0.0000,0.0001,0.0242,0.0001,200,2.5855
0.0506,0.0000,0.0000,0.0002,0.0503,0.0001,200,2.6099
0.0385,0.0000,0.0000,0.0001,0.0383,0.0001,200,2.6605
0.0362,0.0000,0.0000,0.0001,0.0358,0.0003,200,2.6991
0.0329,0.0000,0.0000,0.0001,0.0327,0.0001,200,2.7353
0.0342,0.0000,0.0000,0.0002,0.0338,0.0001,200,2.7682
0.0380,0.0000,0.0000,0.0001,0.0378,0.0001,200,2.8024
0.0239,0.0000,0.0000,0.0001,0.0237,0.0001,200,2.8404
0.0295,0.0000,0.0000,0.0002,0.0291,0.0001,200,2.8643
0.0213,0.0000,0.0000,0.0001,0.0211,0.0001,200,2.8938
0.0184,0.0000,0.0000,0.0001,0.0181,0.0002,200,2.9151
0.0194,0.0000,0.0000,0.0001,0.0192,0.0001,200,2.9335
0.0266,0.0000,0.0000,0.0001,0.0263,0.0001,200,2.9529
0.0395,0.0000,0.0000,0.0002,0.0389,0.0003,200,2.9795
0.0253,0.0000,0.0000,0.0001,0.0249,0.0001,200,3.0190
0.0256,0.0000,0.0000,0.0001,0.0254,0.0001,200,3.0443
0.0221,0.0000,0.0000,0.0001,0.0218,0.0001,200,3.0699
0.0234,0.0000,0.0000,0.0000,0.0232,0.0001,200,3.0919
0.0244,0.0000,0.0000,0.0000,0.0242,0.0001,200,3.1153
0.0273,0.0000,0.0000,0.0000,0.0269,0.0003,200,3.1397
0.0255,0.0000,0.0000,0.0001,0.0252,0.0001,200,3.1670
0.0278,0.0000,0.0000,0.0001,0.0276,0.0001,200,3.1925
0.0294,0.0000,0.0000,0.0001,0.0292,0.0001,200,3.2203
0.0271,0.0000,0.0000,0.0001,0.0269,0.0001,200,3.2497
0.0261,0.0000,0.0000,0.0001,0.0255,0.0004,200,3.2768
0.0231,0.0000,0.0000,0.0001,0.0229,0.0001,200,3.3029
0.0241,0.0000,0.0000,0.0000,0.0238,0.0002,200,3.3261
0.0263,0.0000,0.0000,0.0000,0.0261,0.0001,200,3.3502
0.0328,0.0000,0.0000,0.0000,0.0326,0.0001,200,3.3764
0.0476,0.0000,0.0000,0.0001,0.0474,0.0001,200,3.4093
0.0414,0.0000,0.0000,0.0001,0.0411,0.0002,200,3.4569
0.0263,0.0000,0.0000,0.0001,0.0261,0.0001,200,3.4983
0.0278,0.0000,0.0000,0.0001,0.0275,0.0001,200,3.5246
0.0261,0.0000,0.0000,0.0000,0.0259,0.0001,200,3.5524
0.0279,0.0000,0.0000,0.0001,0.0276,0.0001,200,3.5784
0.0295,0.0000,0.0000,0.0001,0.0292,0.0002,200,3.6064
0.0298,0.0000,0.0000,0.0001,0.0296,0.0001,200,3.6359
0.0305,0.0000,0.0000,0.0000,0.0303,0.0001,200,3.6657
0.0282,0.0000,0.0000,0.0001,0.0280,0.0001,200,3.6963
0.0288,0.0000,0.0000,0.0001,0.0286,0.0001,200,3.7245
0.0256,0.0000,0.0000,0.0001,0.0251,0.0003,200,3.7533
0.0275,0.0000,0.0000,0.0001,0.0272,0.0001,200,3.7789
0.0268,0.0000,0.0000,0.0003,0.0264,0.0001,200,3.8065
0.0274,0.0000,0.0000,0.0000,0.0271,0.0001,200,3.8333
0.0275,0.0000,0.0000,0.0001,0.0273,0.0001,200,3.8607
0.0442,0.0000,0.0000,0.0001,0.0439,0.0001,200,3.8882
0.0333,0.0000,0.0000,0.0000,0.0330,0.0001,200,3.9324
0.0337,0.0000,0.0000,0.0001,0.0335,0.0001,200,3.9656
0.0358,0.0000,0.0000,0.0002,0.0355,0.0001,200,3.9995
0.0372,0.0000,0.0000,0.0001,0.0370,0.0001,200,4.0353
0.0421,0.0000,0.0000,0.0001,0.0419,0.0001,200,4.0725
0.0320,0.0000,0.0000,0.0001,0.0314,0.0001,200,4.1147
0.0317,0.0000,0.0000,0.0001,0.0314,0.0000,200,4.1467
0.0302,0.0000,0.0000,0.0000,0.0301,0.0000,200,4.1784
0.0448,0.0000,0.0000,0.0000,0.0446,0.0001,200,4.2086
0.0376,0.0000,0.0000,0.0001,0.0374,0.0001,200,4.2534
0.0358,0.0000,0.0000,0.0000,0.0357,0.0001,200,4.2910
0.0442,0.0000,0.0000,0.0000,0.0440,0.0001,200,4.3269
