response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.9284,0.2702,0.2689,0.0003,0.6564,0.0013,200,0.0024
0.5556,0.0000,0.0000,0.0001,0.5539,0.0016,200,0.9308
0.5229,0.0000,0.0000,0.0002,0.5215,0.0011,200,1.4864
0.5784,0.0000,0.0000,0.0001,0.5772,0.0011,200,2.0093
0.5065,0.0000,0.0000,0.0000,0.5052,0.0012,200,2.5876
0.5087,0.0000,0.0000,0.0001,0.5073,0.0014,200,3.0942
0.4921,0.0000,0.0000,0.0001,0.4908,0.0010,200,3.6029
0.5016,0.0000,0.0000,0.0000,0.4999,0.0016,200,4.0949
0.4931,0.0000,0.0000,0.0001,0.4925,0.0005,200,4.5965
0.5089,0.0000,0.0000,0.0001,0.5071,0.0016,200,5.0896
0.5160,0.0000,0.0000,0.0001,0.5145,0.0012,200,5.5984
0.4939,0.0000,0.0000,0.0000,0.4925,0.0013,200,6.1144
0.4975,0.0000,0.0000,0.0001,0.4965,0.0009,200,6.6083
0.4936,0.0000,0.0000,0.0001,0.4921,0.0014,200,7.1058
0.5112,0.0000,0.0000,0.0001,0.5097,0.0013,200,7.5994
0.4993,0.0000,0.0000,0.0001,0.4976,0.0016,200,8.1105
0.4898,0.0000,0.0000,0.0001,0.4879,0.0017,200,8.6099
0.5059,0.0000,0.0000,0.0001,0.5044,0.0014,200,9.0998
0.5110,0.0000,0.0000,0.0000,0.5096,0.0014,200,9.6056
0.4987,0.0000,0.0000,0.0000,0.4970,0.0016,200,10.1167
0.4949,0.0000,0.0000,0.0001,0.4927,0.0020,200,10.6154
0.5167,0.0000,0.0000,0.0001,0.5153,0.0013,200,11.1103
0.4951,0.0000,0.0000,0.0000,0.4939,0.0011,200,11.6270
0.4924,0.0000,0.0000,0.0001,0.4906,0.0016,200,12.1221
0.4916,0.0000,0.0000,0.0000,0.4909,0.0005,200,12.6144
0.4982,0.0000,0.0000,0.0000,0.4961,0.0021,200,13.1060
0.5185,0.0000,0.0000,0.0001,0.5173,0.0011,200,13.6042
0.4998,0.0000,0.0000,0.0001,0.4986,0.0011,200,14.1227
0.5494,0.0000,0.0000,0.0001,0.5479,0.0014,200,14.6226
0.5012,0.0000,0.0000,0.0001,0.5001,0.0010,200,15.1720
0.5017,0.0000,0.0000,0.0001,0.4998,0.0017,200,15.6732
0.4949,0.0000,0.0000,0.0000,0.4931,0.0016,200,16.1749
0.4906,0.0000,0.0000,0.0001,0.4891,0.0013,200,16.6697
