response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2456,0.2086,0.2059,0.0003,0.0363,0.0003,500,0.0010
0.0122,0.0000,0.0000,0.0001,0.0119,0.0002,500,0.2466
0.0102,0.0000,0.0000,0.0001,0.0097,0.0003,500,0.2589
0.0115,0.0000,0.0000,0.0002,0.0108,0.0003,500,0.2690
0.0107,0.0000,0.0000,0.0000,0.0105,0.0001,500,0.2806
0.0096,0.0000,0.0000,0.0000,0.0093,0.0003,500,0.2914
0.0105,0.0000,0.0000,0.0000,0.0104,0.0001,500,0.3010
0.0097,0.0000,0.0000,0.0004,0.0091,0.0002,500,0.3116
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,500,0.3213
0.0088,0.0000,0.0000,0.0000,0.0086,0.0002,500,0.3292
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,500,0.3380
0.0082,0.0000,0.0000,0.0000,0.0080,0.0001,500,0.3454
0.0081,0.0000,0.0000,0.0002,0.0077,0.0002,500,0.3536
0.0078,0.0000,0.0000,0.0002,0.0074,0.0001,500,0.3616
0.0072,0.0000,0.0000,0.0000,0.0069,0.0002,500,0.3695
0.0086,0.0000,0.0000,0.0000,0.0082,0.0001,500,0.3767
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,500,0.3853
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,500,0.3924
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,500,0.3995
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,500,0.4055
0.0081,0.0000,0.0000,0.0000,0.0079,0.0001,500,0.4127
0.0075,0.0000,0.0000,0.0000,0.0072,0.0001,500,0.4208
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,500,0.4283
0.0076,0.0000,0.0000,0.0001,0.0074,0.0001,500,0.4353
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,500,0.4429
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,500,0.4506
0.0075,0.0000,0.0000,0.0000,0.0073,0.0001,500,0.4583
0.0080,0.0000,0.0000,0.0002,0.0074,0.0001,500,0.4658
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,500,0.4738
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,500,0.4811
0.0080,0.0000,0.0000,0.0001,0.0077,0.0001,500,0.4882
0.0081,0.0000,0.0000,0.0000,0.0079,0.0002,500,0.4962
0.0086,0.0000,0.0000,0.0000,0.0083,0.0002,500,0.5043
