response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
25.1515,0.2678,0.2666,0.0002,24.8831,0.0002,200,0.0007
23.6088,0.0000,0.0000,0.0001,23.6085,0.0002,200,25.1522
23.6837,0.0000,0.0000,0.0001,23.6835,0.0001,200,48.7610
23.7686,0.0000,0.0000,0.0000,23.7684,0.0001,200,72.4447
21.8381,0.0000,0.0000,0.0002,21.8377,0.0001,200,96.2132
23.5575,0.0000,0.0000,0.0001,23.5572,0.0002,200,118.0513
21.7747,0.0000,0.0000,0.0001,21.7742,0.0001,200,141.6088
23.8131,0.0000,0.0000,0.0000,23.8129,0.0001,200,163.3835
23.6534,0.0000,0.0000,0.0000,23.6532,0.0001,200,187.1966
21.8236,0.0000,0.0000,0.0002,21.8229,0.0005,200,210.8501
23.6023,0.0000,0.0000,0.0001,23.6020,0.0001,200,232.6737
23.5902,0.0000,0.0000,0.0001,23.5901,0.0001,200,256.2761
23.5876,0.0000,0.0000,0.0001,23.5874,0.0001,200,279.8663
21.7347,0.0000,0.0000,0.0000,21.7345,0.0001,200,303.4539
21.6903,0.0000,0.0000,0.0001,21.6901,0.0001,200,325.1886
21.7571,0.0000,0.0000,0.0000,21.7569,0.0001,200,346.8789
21.7685,0.0000,0.0000,0.0002,21.7681,0.0001,200,368.6360
23.7884,0.0000,0.0000,0.0001,23.7882,0.0001,200,390.4045
23.6512,0.0000,0.0000,0.0001,23.6510,0.0001,200,414.1929
23.7083,0.0000,0.0000,0.0002,23.7079,0.0001,200,437.8441
23.6873,0.0000,0.0000,0.0001,23.6871,0.0001,200,461.5524
23.6739,0.0000,0.0000,0.0001,23.6735,0.0003,200,485.2398
23.5994,0.0000,0.0000,0.0001,23.5989,0.0001,200,508.9137
21.9557,0.0000,0.0000,0.0001,21.9555,0.0001,200,532.5131
23.7891,0.0000,0.0000,0.0000,23.7889,0.0001,200,554.4688
21.8563,0.0000,0.0000,0.0002,21.8560,0.0001,200,578.2579
23.6054,0.0000,0.0000,0.0001,23.6052,0.0001,200,600.1142
23.6364,0.0000,0.0000,0.0000,23.6362,0.0001,200,623.7196
23.6652,0.0000,0.0000,0.0001,23.6649,0.0001,200,647.3561
23.6077,0.0000,0.0000,0.0001,23.6075,0.0001,200,671.0213
23.7967,0.0000,0.0000,0.0001,23.7964,0.0001,200,694.6290
21.7592,0.0000,0.0000,0.0001,21.7590,0.0001,200,718.4257
