response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.0571,0.0031,0.0027,0.0001,1.0518,0.0021,200,0.0004
0.7005,0.0000,0.0000,0.0001,0.6992,0.0012,200,1.0575
0.7101,0.0000,0.0000,0.0001,0.7089,0.0011,200,1.7581
0.6935,0.0000,0.0000,0.0001,0.6925,0.0009,200,2.4682
0.6906,0.0000,0.0000,0.0002,0.6890,0.0014,200,3.1617
0.6968,0.0000,0.0000,0.0001,0.6952,0.0015,200,3.8523
0.7086,0.0000,0.0000,0.0001,0.7076,0.0009,200,4.5492
0.8306,0.0000,0.0000,0.0001,0.8283,0.0022,200,5.2578
0.6775,0.0000,0.0000,0.0000,0.6756,0.0018,200,6.0883
0.6824,0.0000,0.0000,0.0001,0.6816,0.0006,200,6.7658
0.7149,0.0000,0.0000,0.0000,0.7138,0.0011,200,7.4482
0.6798,0.0000,0.0000,0.0001,0.6794,0.0002,200,8.1632
0.7059,0.0000,0.0000,0.0001,0.7041,0.0017,200,8.8429
0.6684,0.0000,0.0000,0.0000,0.6670,0.0013,200,9.5489
0.7093,0.0000,0.0000,0.0000,0.7074,0.0018,200,10.2173
0.6901,0.0000,0.0000,0.0001,0.6895,0.0003,200,10.9266
0.7147,0.0000,0.0000,0.0000,0.7128,0.0018,200,11.6166
0.6929,0.0000,0.0000,0.0001,0.6919,0.0007,200,12.3314
0.6972,0.0000,0.0000,0.0001,0.6958,0.0013,200,13.0242
0.6949,0.0000,0.0000,0.0002,0.6936,0.0012,200,13.7215
0.7154,0.0000,0.0000,0.0000,0.7135,0.0018,200,14.4164
0.6965,0.0000,0.0000,0.0001,0.6948,0.0016,200,15.1318
0.7022,0.0000,0.0000,0.0001,0.7019,0.0002,200,15.8283
0.7004,0.0000,0.0000,0.0000,0.6986,0.0018,200,16.5306
0.7342,0.0000,0.0000,0.0001,0.7319,0.0023,200,17.2310
0.7761,0.0000,0.0000,0.0001,0.7742,0.0018,200,17.9653
0.7124,0.0000,0.0000,0.0001,0.7114,0.0009,200,18.7413
0.6996,0.0000,0.0000,0.0003,0.6978,0.0015,200,19.4537
0.6895,0.0000,0.0000,0.0001,0.6881,0.0012,200,20.1533
0.7002,0.0000,0.0000,0.0001,0.6982,0.0020,200,20.8428
0.6967,0.0000,0.0000,0.0002,0.6962,0.0002,200,21.5430
0.7052,0.0000,0.0000,0.0000,0.7036,0.0014,200,22.2397
0.7167,0.0000,0.0000,0.0001,0.7153,0.0014,200,22.9449
0.7278,0.0000,0.0000,0.0000,0.7275,0.0002,200,23.6616
0.6706,0.0000,0.0000,0.0000,0.6694,0.0011,200,24.3894
0.7271,0.0000,0.0000,0.0000,0.7249,0.0020,200,25.0600
0.6721,0.0000,0.0000,0.0001,0.6698,0.0022,200,25.7871
0.7005,0.0000,0.0000,0.0001,0.6992,0.0012,200,26.4592
0.7067,0.0000,0.0000,0.0001,0.7048,0.0018,200,27.1597
0.6989,0.0000,0.0000,0.0000,0.6968,0.0019,200,27.8664
0.6771,0.0000,0.0000,0.0001,0.6750,0.0020,200,28.5653
0.7276,0.0000,0.0000,0.0001,0.7261,0.0015,200,29.2425
0.6779,0.0000,0.0000,0.0001,0.6760,0.0018,200,29.9701
0.7039,0.0000,0.0000,0.0001,0.7020,0.0017,200,30.6480
0.7210,0.0000,0.0000,0.0001,0.7193,0.0016,200,31.3519
0.7207,0.0000,0.0000,0.0001,0.7194,0.0012,200,32.0729
0.7031,0.0000,0.0000,0.0001,0.7012,0.0017,200,32.7936
0.7076,0.0000,0.0000,0.0001,0.7059,0.0016,200,33.4967
0.7301,0.0000,0.0000,0.0001,0.7284,0.0016,200,34.2043
0.6531,0.0000,0.0000,0.0001,0.6515,0.0014,200,34.9344
0.6744,0.0000,0.0000,0.0001,0.6728,0.0015,200,35.5875
0.6662,0.0000,0.0000,0.0001,0.6645,0.0016,200,36.2619
0.6949,0.0000,0.0000,0.0000,0.6926,0.0022,200,36.9281
0.7398,0.0000,0.0000,0.0001,0.7379,0.0017,200,37.6231
0.7040,0.0000,0.0000,0.0001,0.7018,0.0020,200,38.3628
0.6982,0.0000,0.0000,0.0001,0.6964,0.0017,200,39.0668
0.6815,0.0000,0.0000,0.0001,0.6798,0.0015,200,39.7651
0.6724,0.0000,0.0000,0.0000,0.6710,0.0013,200,40.4466
0.6915,0.0000,0.0000,0.0000,0.6897,0.0017,200,41.1190
0.7123,0.0000,0.0000,0.0001,0.7104,0.0018,200,41.8105
0.6721,0.0000,0.0000,0.0001,0.6709,0.0012,200,42.5228
0.6862,0.0000,0.0000,0.0000,0.6847,0.0014,200,43.1949
0.7009,0.0000,0.0000,0.0001,0.6990,0.0017,200,43.8811
0.7188,0.0000,0.0000,0.0001,0.7173,0.0014,200,44.5820
0.6966,0.0000,0.0000,0.0001,0.6950,0.0015,200,45.3008
0.7123,0.0000,0.0000,0.0001,0.7110,0.0011,200,45.9974
0.7175,0.0000,0.0000,0.0001,0.7157,0.0017,200,46.7097
0.7056,0.0000,0.0000,0.0001,0.7039,0.0016,200,47.4273
0.6987,0.0000,0.0000,0.0001,0.6971,0.0015,200,48.1329
0.7239,0.0000,0.0000,0.0001,0.7217,0.0021,200,48.8316
0.7264,0.0000,0.0000,0.0000,0.7245,0.0018,200,49.5555
0.7013,0.0000,0.0000,0.0001,0.6995,0.0017,200,50.2819
0.6938,0.0000,0.0000,0.0001,0.6920,0.0017,200,50.9832
0.6873,0.0000,0.0000,0.0001,0.6856,0.0016,200,51.6770
0.7110,0.0000,0.0000,0.0001,0.7087,0.0021,200,52.3643
0.7155,0.0000,0.0000,0.0001,0.7140,0.0014,200,53.0752
0.6925,0.0000,0.0000,0.0001,0.6905,0.0019,200,53.7907
0.7555,0.0000,0.0000,0.0001,0.7534,0.0020,200,54.4832
0.7377,0.0000,0.0000,0.0000,0.7360,0.0016,200,55.2388
0.6986,0.0000,0.0000,0.0001,0.6968,0.0017,200,55.9764
0.7024,0.0000,0.0000,0.0000,0.7008,0.0014,200,56.6751
0.7123,0.0000,0.0000,0.0000,0.7101,0.0021,200,57.3774
0.7549,0.0000,0.0000,0.0001,0.7533,0.0014,200,58.0897
0.7185,0.0000,0.0000,0.0001,0.7162,0.0021,200,58.8447
0.7014,0.0000,0.0000,0.0001,0.6998,0.0015,200,59.5632
0.6950,0.0000,0.0000,0.0001,0.6938,0.0011,200,60.2646
0.7168,0.0000,0.0000,0.0000,0.7152,0.0014,200,60.9595
0.7305,0.0000,0.0000,0.0000,0.7284,0.0019,200,61.6763
0.6905,0.0000,0.0000,0.0001,0.6888,0.0016,200,62.4068
0.6815,0.0000,0.0000,0.0001,0.6797,0.0017,200,63.0973
0.6978,0.0000,0.0000,0.0001,0.6961,0.0016,200,63.7788
0.7193,0.0000,0.0000,0.0001,0.7172,0.0019,200,64.4766
0.7084,0.0000,0.0000,0.0001,0.7065,0.0018,200,65.1959
0.7227,0.0000,0.0000,0.0001,0.7209,0.0016,200,65.9043
0.7229,0.0000,0.0000,0.0001,0.7212,0.0015,200,66.6270
0.6997,0.0000,0.0000,0.0000,0.6980,0.0015,200,67.3500
0.7061,0.0000,0.0000,0.0001,0.7046,0.0014,200,68.0497
0.6999,0.0000,0.0000,0.0001,0.6988,0.0010,200,68.7557
0.6798,0.0000,0.0000,0.0000,0.6782,0.0015,200,69.4556
0.7036,0.0000,0.0000,0.0001,0.7020,0.0015,200,70.1354
0.7155,0.0000,0.0000,0.0001,0.7139,0.0015,200,70.8390
0.6986,0.0000,0.0000,0.0001,0.6969,0.0015,200,71.5546
0.6918,0.0000,0.0000,0.0001,0.6902,0.0014,200,72.2531
0.7286,0.0000,0.0000,0.0000,0.7268,0.0017,200,72.9449
0.7274,0.0000,0.0000,0.0002,0.7253,0.0019,200,73.6735
0.7088,0.0000,0.0000,0.0001,0.7068,0.0019,200,74.4009
0.7635,0.0000,0.0000,0.0001,0.7616,0.0015,200,75.1097
0.6840,0.0000,0.0000,0.0001,0.6819,0.0019,200,75.8731
0.7096,0.0000,0.0000,0.0001,0.7078,0.0017,200,76.5571
