response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0788,0.0458,0.0445,0.0003,0.0316,0.0003,500,0.0021
0.0055,0.0000,0.0000,0.0001,0.0051,0.0002,500,0.0809
0.0054,0.0000,0.0000,0.0000,0.0051,0.0001,500,0.0864
0.0058,0.0000,0.0000,0.0002,0.0054,0.0001,500,0.0917
0.0062,0.0000,0.0000,0.0000,0.0059,0.0002,500,0.0976
0.0048,0.0000,0.0000,0.0001,0.0046,0.0001,500,0.1038
0.0060,0.0000,0.0000,0.0000,0.0058,0.0001,500,0.1086
0.0050,0.0000,0.0000,0.0000,0.0048,0.0001,500,0.1147
0.0050,0.0000,0.0000,0.0000,0.0048,0.0001,500,0.1196
0.0049,0.0000,0.0000,0.0000,0.0045,0.0002,500,0.1246
0.0094,0.0000,0.0000,0.0000,0.0091,0.0001,500,0.1295
0.0084,0.0000,0.0000,0.0000,0.0080,0.0002,500,0.1389
0.0053,0.0000,0.0000,0.0002,0.0050,0.0001,500,0.1472
0.0048,0.0000,0.0000,0.0000,0.0045,0.0002,500,0.1525
0.0046,0.0000,0.0000,0.0002,0.0043,0.0001,500,0.1573
0.0045,0.0000,0.0000,0.0001,0.0043,0.0001,500,0.1619
0.0066,0.0000,0.0000,0.0000,0.0064,0.0001,500,0.1664
0.0053,0.0000,0.0000,0.0000,0.0051,0.0001,500,0.1731
0.0057,0.0000,0.0000,0.0001,0.0055,0.0001,500,0.1784
0.0064,0.0000,0.0000,0.0000,0.0061,0.0003,500,0.1841
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,500,0.1906
0.0050,0.0000,0.0000,0.0000,0.0048,0.0001,500,0.1965
0.0049,0.0000,0.0000,0.0000,0.0047,0.0002,500,0.2015
0.0056,0.0000,0.0000,0.0000,0.0054,0.0001,500,0.2064
0.0054,0.0000,0.0000,0.0000,0.0052,0.0001,500,0.2120
0.0056,0.0000,0.0000,0.0000,0.0053,0.0001,500,0.2174
0.0063,0.0000,0.0000,0.0000,0.0061,0.0001,500,0.2230
0.0040,0.0000,0.0000,0.0000,0.0039,0.0001,500,0.2293
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,500,0.2333
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,500,0.2366
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,500,0.2401
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,500,0.2433
0.0031,0.0000,0.0000,0.0000,0.0030,0.0000,500,0.2464
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,500,0.2495
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,500,0.2529
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,500,0.2565
0.0044,0.0000,0.0000,0.0000,0.0043,0.0000,500,0.2597
0.0035,0.0000,0.0000,0.0000,0.0034,0.0000,500,0.2641
0.0047,0.0000,0.0000,0.0000,0.0046,0.0001,500,0.2676
0.0063,0.0000,0.0000,0.0001,0.0060,0.0001,500,0.2723
0.0051,0.0000,0.0000,0.0000,0.0048,0.0001,500,0.2786
0.0049,0.0000,0.0000,0.0000,0.0047,0.0001,500,0.2837
0.0052,0.0000,0.0000,0.0000,0.0049,0.0002,500,0.2886
0.0065,0.0000,0.0000,0.0001,0.0062,0.0001,500,0.2938
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,500,0.3003
0.0061,0.0000,0.0000,0.0000,0.0059,0.0001,500,0.3061
0.0062,0.0000,0.0000,0.0000,0.0058,0.0001,500,0.3122
0.0050,0.0000,0.0000,0.0000,0.0048,0.0001,500,0.3185
0.0054,0.0000,0.0000,0.0000,0.0052,0.0001,500,0.3235
0.0046,0.0000,0.0000,0.0000,0.0044,0.0001,500,0.3289
0.0060,0.0000,0.0000,0.0000,0.0057,0.0002,500,0.3335
0.0055,0.0000,0.0000,0.0000,0.0053,0.0001,500,0.3396
0.0041,0.0000,0.0000,0.0000,0.0039,0.0001,500,0.3451
0.0044,0.0000,0.0000,0.0000,0.0042,0.0001,500,0.3492
0.0034,0.0000,0.0000,0.0000,0.0032,0.0000,500,0.3535
0.0029,0.0000,0.0000,0.0000,0.0029,0.0000,500,0.3569
0.0031,0.0000,0.0000,0.0000,0.0030,0.0001,500,0.3598
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,500,0.3630
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,500,0.3663
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,500,0.3692
0.0041,0.0000,0.0000,0.0000,0.0040,0.0001,500,0.3720
0.0051,0.0000,0.0000,0.0000,0.0048,0.0001,500,0.3761
0.0047,0.0000,0.0000,0.0000,0.0045,0.0001,500,0.3812
0.0055,0.0000,0.0000,0.0000,0.0053,0.0001,500,0.3859
0.0052,0.0000,0.0000,0.0001,0.0050,0.0001,500,0.3914
0.0051,0.0000,0.0000,0.0000,0.0046,0.0002,500,0.3965
0.0053,0.0000,0.0000,0.0000,0.0050,0.0002,500,0.4016
0.0048,0.0000,0.0000,0.0002,0.0045,0.0001,500,0.4069
0.0050,0.0000,0.0000,0.0001,0.0048,0.0001,500,0.4117
0.0047,0.0000,0.0000,0.0000,0.0044,0.0002,500,0.4167
0.0047,0.0000,0.0000,0.0000,0.0044,0.0001,500,0.4214
0.0047,0.0000,0.0000,0.0000,0.0045,0.0001,500,0.4262
0.0043,0.0000,0.0000,0.0000,0.0041,0.0001,500,0.4308
0.0055,0.0000,0.0000,0.0000,0.0053,0.0001,500,0.4351
0.0045,0.0000,0.0000,0.0000,0.0042,0.0001,500,0.4406
0.0046,0.0000,0.0000,0.0000,0.0044,0.0001,500,0.4451
0.0047,0.0000,0.0000,0.0000,0.0043,0.0001,500,0.4497
0.0048,0.0000,0.0000,0.0000,0.0044,0.0001,500,0.4544
0.0048,0.0000,0.0000,0.0000,0.0046,0.0001,500,0.4591
0.0042,0.0000,0.0000,0.0000,0.0040,0.0001,500,0.4639
0.0048,0.0000,0.0000,0.0002,0.0045,0.0001,500,0.4681
0.0055,0.0000,0.0000,0.0000,0.0053,0.0002,500,0.4729
0.0058,0.0000,0.0000,0.0000,0.0056,0.0001,500,0.4784
0.0050,0.0000,0.0000,0.0000,0.0049,0.0001,500,0.4842
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,500,0.4893
0.0082,0.0000,0.0000,0.0002,0.0078,0.0001,500,0.4969
0.0087,0.0000,0.0000,0.0002,0.0084,0.0001,500,0.5051
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,500,0.5138
0.0086,0.0000,0.0000,0.0001,0.0082,0.0001,500,0.5210
0.0096,0.0000,0.0000,0.0000,0.0093,0.0001,500,0.5295
0.0094,0.0000,0.0000,0.0000,0.0091,0.0001,500,0.5391
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,500,0.5485
0.0098,0.0000,0.0000,0.0001,0.0095,0.0001,500,0.5582
0.0078,0.0000,0.0000,0.0000,0.0076,0.0001,500,0.5680
0.0072,0.0000,0.0000,0.0000,0.0069,0.0001,500,0.5758
