response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0789,0.0446,0.0436,0.0005,0.0326,0.0007,200,0.0014
0.0271,0.0000,0.0000,0.0002,0.0263,0.0001,200,0.0803
0.0345,0.0000,0.0000,0.0001,0.0342,0.0002,200,0.1074
0.0346,0.0000,0.0000,0.0001,0.0344,0.0001,200,0.1420
0.0340,0.0000,0.0000,0.0001,0.0335,0.0001,200,0.1766
0.0338,0.0000,0.0000,0.0001,0.0336,0.0002,200,0.2106
0.0316,0.0000,0.0000,0.0002,0.0313,0.0001,200,0.2444
0.0318,0.0000,0.0000,0.0000,0.0317,0.0001,200,0.2760
0.0316,0.0000,0.0000,0.0000,0.0315,0.0000,200,0.3078
0.0319,0.0000,0.0000,0.0000,0.0316,0.0003,200,0.3394
0.0224,0.0000,0.0000,0.0001,0.0221,0.0001,200,0.3713
0.0268,0.0000,0.0000,0.0002,0.0265,0.0001,200,0.3938
0.0514,0.0000,0.0000,0.0001,0.0511,0.0001,200,0.4206
0.0508,0.0000,0.0000,0.0000,0.0506,0.0001,200,0.4720
0.0508,0.0000,0.0000,0.0001,0.0506,0.0001,200,0.5229
0.0449,0.0000,0.0000,0.0001,0.0446,0.0001,200,0.5737
0.0335,0.0000,0.0000,0.0001,0.0332,0.0001,200,0.6186
0.0305,0.0000,0.0000,0.0001,0.0302,0.0001,200,0.6521
0.0271,0.0000,0.0000,0.0000,0.0269,0.0001,200,0.6827
0.0190,0.0000,0.0000,0.0001,0.0188,0.0001,200,0.7098
0.0186,0.0000,0.0000,0.0000,0.0183,0.0001,200,0.7288
0.0175,0.0000,0.0000,0.0000,0.0173,0.0001,200,0.7474
0.0399,0.0000,0.0000,0.0000,0.0397,0.0001,200,0.7649
0.0477,0.0000,0.0000,0.0002,0.0472,0.0001,200,0.8049
0.0307,0.0000,0.0000,0.0001,0.0302,0.0003,200,0.8525
0.0245,0.0000,0.0000,0.0000,0.0242,0.0001,200,0.8833
0.0265,0.0000,0.0000,0.0001,0.0262,0.0002,200,0.9077
0.0256,0.0000,0.0000,0.0001,0.0253,0.0001,200,0.9342
0.0259,0.0000,0.0000,0.0000,0.0257,0.0001,200,0.9598
0.0257,0.0000,0.0000,0.0000,0.0254,0.0001,200,0.9857
0.0251,0.0000,0.0000,0.0001,0.0248,0.0001,200,1.0114
0.0248,0.0000,0.0000,0.0002,0.0244,0.0001,200,1.0365
0.0486,0.0000,0.0000,0.0001,0.0482,0.0001,200,1.0613
0.0369,0.0000,0.0000,0.0001,0.0366,0.0002,200,1.1099
0.0301,0.0000,0.0000,0.0001,0.0299,0.0002,200,1.1469
0.0335,0.0000,0.0000,0.0001,0.0330,0.0002,200,1.1770
0.0419,0.0000,0.0000,0.0000,0.0416,0.0000,200,1.2105
0.0298,0.0000,0.0000,0.0000,0.0296,0.0001,200,1.2524
0.0278,0.0000,0.0000,0.0000,0.0277,0.0001,200,1.2822
0.0272,0.0000,0.0000,0.0000,0.0270,0.0001,200,1.3100
0.0303,0.0000,0.0000,0.0001,0.0299,0.0002,200,1.3372
0.0295,0.0000,0.0000,0.0001,0.0292,0.0002,200,1.3675
0.0313,0.0000,0.0000,0.0001,0.0308,0.0002,200,1.3971
0.0444,0.0000,0.0000,0.0001,0.0442,0.0001,200,1.4284
0.0415,0.0000,0.0000,0.0000,0.0412,0.0002,200,1.4728
0.0390,0.0000,0.0000,0.0003,0.0385,0.0001,200,1.5143
0.0290,0.0000,0.0000,0.0000,0.0288,0.0001,200,1.5533
0.0290,0.0000,0.0000,0.0001,0.0287,0.0001,200,1.5823
0.0281,0.0000,0.0000,0.0001,0.0279,0.0002,200,1.6113
0.0286,0.0000,0.0000,0.0001,0.0284,0.0001,200,1.6395
0.0272,0.0000,0.0000,0.0001,0.0269,0.0001,200,1.6681
0.0321,0.0000,0.0000,0.0001,0.0318,0.0001,200,1.6953
