response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.1704,0.0472,0.0455,0.0002,1.1058,0.0162,200,0.0008
0.6466,0.0000,0.0000,0.0000,0.6453,0.0012,200,1.1712
0.6482,0.0000,0.0000,0.0000,0.6469,0.0013,200,1.8179
0.6473,0.0000,0.0000,0.0001,0.6453,0.0019,200,2.4661
0.6205,0.0000,0.0000,0.0001,0.6180,0.0024,200,3.1134
0.6102,0.0000,0.0000,0.0001,0.6087,0.0015,200,3.7338
0.6666,0.0000,0.0000,0.0001,0.6651,0.0013,200,4.3441
0.6187,0.0000,0.0000,0.0001,0.6170,0.0016,200,5.0107
0.6430,0.0000,0.0000,0.0001,0.6414,0.0013,200,5.6294
0.6144,0.0000,0.0000,0.0004,0.6127,0.0013,200,6.2724
0.6516,0.0000,0.0000,0.0001,0.6503,0.0012,200,6.8868
0.6128,0.0000,0.0000,0.0001,0.6110,0.0015,200,7.5384
0.6247,0.0000,0.0000,0.0001,0.6228,0.0017,200,8.1512
0.6090,0.0000,0.0000,0.0003,0.6083,0.0003,200,8.7759
0.6630,0.0000,0.0000,0.0001,0.6599,0.0016,200,9.3849
0.6314,0.0000,0.0000,0.0001,0.6301,0.0012,200,10.0479
0.6304,0.0000,0.0000,0.0001,0.6287,0.0016,200,10.6794
0.6622,0.0000,0.0000,0.0000,0.6610,0.0011,200,11.3098
0.6692,0.0000,0.0000,0.0001,0.6668,0.0022,200,11.9720
0.6256,0.0000,0.0000,0.0001,0.6252,0.0003,200,12.6412
0.6060,0.0000,0.0000,0.0001,0.6044,0.0014,200,13.2668
0.6125,0.0000,0.0000,0.0001,0.6106,0.0018,200,13.8728
0.6317,0.0000,0.0000,0.0001,0.6301,0.0014,200,14.4852
0.6910,0.0000,0.0000,0.0001,0.6894,0.0015,200,15.1170
0.6177,0.0000,0.0000,0.0001,0.6162,0.0014,200,15.8081
0.6278,0.0000,0.0000,0.0001,0.6261,0.0016,200,16.4258
0.6102,0.0000,0.0000,0.0001,0.6097,0.0004,200,17.0536
0.6206,0.0000,0.0000,0.0001,0.6190,0.0015,200,17.6638
0.6135,0.0000,0.0000,0.0001,0.6121,0.0014,200,18.2844
0.6341,0.0000,0.0000,0.0001,0.6325,0.0015,200,18.8979
0.6378,0.0000,0.0000,0.0001,0.6357,0.0019,200,19.5320
0.6430,0.0000,0.0000,0.0001,0.6410,0.0017,200,20.1698
0.6285,0.0000,0.0000,0.0001,0.6267,0.0017,200,20.8128
0.6423,0.0000,0.0000,0.0001,0.6409,0.0012,200,21.4412
0.6534,0.0000,0.0000,0.0000,0.6520,0.0013,200,22.0835
0.6428,0.0000,0.0000,0.0000,0.6417,0.0010,200,22.7369
0.6298,0.0000,0.0000,0.0001,0.6282,0.0015,200,23.3798
0.6113,0.0000,0.0000,0.0001,0.6094,0.0017,200,24.0095
0.6280,0.0000,0.0000,0.0003,0.6263,0.0013,200,24.6208
0.6243,0.0000,0.0000,0.0001,0.6224,0.0017,200,25.2488
0.6425,0.0000,0.0000,0.0000,0.6409,0.0014,200,25.8731
0.5980,0.0000,0.0000,0.0001,0.5971,0.0008,200,26.5156
0.6384,0.0000,0.0000,0.0001,0.6374,0.0009,200,27.1136
0.6386,0.0000,0.0000,0.0001,0.6368,0.0017,200,27.7521
0.6359,0.0000,0.0000,0.0001,0.6343,0.0015,200,28.3907
0.6303,0.0000,0.0000,0.0002,0.6286,0.0014,200,29.0267
0.6174,0.0000,0.0000,0.0000,0.6161,0.0012,200,29.6569
0.6288,0.0000,0.0000,0.0001,0.6275,0.0011,200,30.2744
0.6268,0.0000,0.0000,0.0000,0.6265,0.0002,200,30.9031
0.6544,0.0000,0.0000,0.0001,0.6527,0.0014,200,31.5299
0.6263,0.0000,0.0000,0.0001,0.6250,0.0011,200,32.1843
0.6459,0.0000,0.0000,0.0000,0.6450,0.0009,200,32.8106
0.6505,0.0000,0.0000,0.0002,0.6490,0.0009,200,33.4565
0.6469,0.0000,0.0000,0.0002,0.6452,0.0015,200,34.1070
0.6203,0.0000,0.0000,0.0001,0.6199,0.0003,200,34.7539
0.6238,0.0000,0.0000,0.0001,0.6161,0.0077,200,35.3742
0.6513,0.0000,0.0000,0.0001,0.6500,0.0011,200,35.9980
0.6189,0.0000,0.0000,0.0002,0.6172,0.0014,200,36.6493
0.6199,0.0000,0.0000,0.0001,0.6185,0.0013,200,37.2682
0.6259,0.0000,0.0000,0.0001,0.6244,0.0014,200,37.8881
0.6557,0.0000,0.0000,0.0001,0.6536,0.0020,200,38.5140
0.6279,0.0000,0.0000,0.0001,0.6261,0.0016,200,39.1698
0.6495,0.0000,0.0000,0.0001,0.6483,0.0011,200,39.7977
0.6277,0.0000,0.0000,0.0001,0.6258,0.0016,200,40.4472
0.6109,0.0000,0.0000,0.0001,0.6086,0.0022,200,41.0748
0.6339,0.0000,0.0000,0.0001,0.6321,0.0016,200,41.6857
0.6306,0.0000,0.0000,0.0001,0.6286,0.0018,200,42.3197
0.6241,0.0000,0.0000,0.0001,0.6230,0.0009,200,42.9503
0.6311,0.0000,0.0000,0.0000,0.6299,0.0011,200,43.5743
0.6412,0.0000,0.0000,0.0001,0.6398,0.0011,200,44.2055
0.6474,0.0000,0.0000,0.0001,0.6457,0.0016,200,44.8466
0.6394,0.0000,0.0000,0.0001,0.6376,0.0017,200,45.4940
0.6441,0.0000,0.0000,0.0001,0.6430,0.0010,200,46.1334
0.6491,0.0000,0.0000,0.0001,0.6474,0.0016,200,46.7775
0.6070,0.0000,0.0000,0.0001,0.6053,0.0015,200,47.4266
0.6295,0.0000,0.0000,0.0001,0.6291,0.0003,200,48.0336
0.6136,0.0000,0.0000,0.0001,0.6120,0.0013,200,48.6631
0.6195,0.0000,0.0000,0.0001,0.6176,0.0016,200,49.2767
0.6180,0.0000,0.0000,0.0001,0.6167,0.0012,200,49.8961
0.6235,0.0000,0.0000,0.0001,0.6221,0.0013,200,50.5142
0.6161,0.0000,0.0000,0.0001,0.6158,0.0002,200,51.1377
0.6158,0.0000,0.0000,0.0000,0.6140,0.0017,200,51.7538
0.6077,0.0000,0.0000,0.0001,0.6066,0.0009,200,52.3696
0.6204,0.0000,0.0000,0.0000,0.6185,0.0018,200,52.9773
0.6240,0.0000,0.0000,0.0001,0.6221,0.0017,200,53.5977
0.6296,0.0000,0.0000,0.0001,0.6274,0.0021,200,54.2216
0.6227,0.0000,0.0000,0.0001,0.6209,0.0017,200,54.8512
0.6191,0.0000,0.0000,0.0001,0.6181,0.0009,200,55.4740
0.6275,0.0000,0.0000,0.0000,0.6252,0.0022,200,56.0931
0.6340,0.0000,0.0000,0.0001,0.6327,0.0012,200,56.7205
0.6105,0.0000,0.0000,0.0000,0.6087,0.0018,200,57.3545
0.6429,0.0000,0.0000,0.0001,0.6407,0.0021,200,57.9650
0.6264,0.0000,0.0000,0.0001,0.6243,0.0019,200,58.6079
0.6060,0.0000,0.0000,0.0001,0.6046,0.0013,200,59.2343
0.6506,0.0000,0.0000,0.0001,0.6496,0.0010,200,59.8403
0.6256,0.0000,0.0000,0.0000,0.6242,0.0014,200,60.4909
0.6136,0.0000,0.0000,0.0003,0.6117,0.0016,200,61.1165
0.6335,0.0000,0.0000,0.0001,0.6317,0.0017,200,61.7301
0.7167,0.0000,0.0000,0.0001,0.7151,0.0015,200,62.3636
0.6092,0.0000,0.0000,0.0001,0.6070,0.0021,200,63.0803
0.6711,0.0000,0.0000,0.0001,0.6690,0.0020,200,63.6895
0.6501,0.0000,0.0000,0.0001,0.6483,0.0017,200,64.3606
0.6212,0.0000,0.0000,0.0001,0.6194,0.0017,200,65.0107
0.6323,0.0000,0.0000,0.0001,0.6303,0.0019,200,65.6319
0.6381,0.0000,0.0000,0.0002,0.6358,0.0020,200,66.2642
0.6349,0.0000,0.0000,0.0001,0.6333,0.0015,200,66.9024
0.6305,0.0000,0.0000,0.0001,0.6292,0.0012,200,67.5373
0.6356,0.0000,0.0000,0.0001,0.6339,0.0017,200,68.1679
0.6396,0.0000,0.0000,0.0001,0.6384,0.0011,200,68.8035
0.6160,0.0000,0.0000,0.0001,0.6140,0.0020,200,69.4431
0.6299,0.0000,0.0000,0.0001,0.6278,0.0018,200,70.0591
0.6208,0.0000,0.0000,0.0001,0.6192,0.0015,200,70.6890
0.6462,0.0000,0.0000,0.0001,0.6446,0.0015,200,71.3099
0.7266,0.0000,0.0000,0.0001,0.7248,0.0016,200,71.9561
0.6707,0.0000,0.0000,0.0001,0.6687,0.0019,200,72.6827
0.6321,0.0000,0.0000,0.0001,0.6304,0.0016,200,73.3534
0.6106,0.0000,0.0000,0.0001,0.6091,0.0014,200,73.9856
0.6752,0.0000,0.0000,0.0001,0.6737,0.0014,200,74.5962
0.6541,0.0000,0.0000,0.0001,0.6524,0.0016,200,75.2714
0.6329,0.0000,0.0000,0.0001,0.6301,0.0018,200,75.9254
0.6281,0.0000,0.0000,0.0001,0.6265,0.0015,200,76.5583
0.6754,0.0000,0.0000,0.0001,0.6745,0.0007,200,77.1864
0.6226,0.0000,0.0000,0.0000,0.6212,0.0014,200,77.8618
0.6122,0.0000,0.0000,0.0001,0.6107,0.0013,200,78.4845
0.6259,0.0000,0.0000,0.0001,0.6222,0.0036,200,79.0967
0.6184,0.0000,0.0000,0.0001,0.6165,0.0018,200,79.7226
0.6988,0.0000,0.0000,0.0001,0.6971,0.0016,200,80.3410
0.6769,0.0000,0.0000,0.0001,0.6750,0.0019,200,81.0398
0.6204,0.0000,0.0000,0.0001,0.6184,0.0018,200,81.7168
0.6241,0.0000,0.0000,0.0001,0.6230,0.0009,200,82.3371
0.6632,0.0000,0.0000,0.0000,0.6618,0.0014,200,82.9612
0.6411,0.0000,0.0000,0.0001,0.6393,0.0017,200,83.6244
0.6308,0.0000,0.0000,0.0001,0.6291,0.0016,200,84.2655
0.6388,0.0000,0.0000,0.0001,0.6371,0.0015,200,84.8963
0.6448,0.0000,0.0000,0.0001,0.6413,0.0032,200,85.5351
0.6684,0.0000,0.0000,0.0001,0.6668,0.0015,200,86.1799
0.6367,0.0000,0.0000,0.0001,0.6354,0.0012,200,86.8483
0.6151,0.0000,0.0000,0.0001,0.6139,0.0011,200,87.4850
0.6202,0.0000,0.0000,0.0000,0.6182,0.0020,200,88.1001
0.6215,0.0000,0.0000,0.0001,0.6195,0.0018,200,88.7202
0.6335,0.0000,0.0000,0.0001,0.6317,0.0016,200,89.3417
0.6240,0.0000,0.0000,0.0001,0.6224,0.0015,200,89.9752
0.6336,0.0000,0.0000,0.0001,0.6317,0.0019,200,90.5992
0.6340,0.0000,0.0000,0.0001,0.6328,0.0011,200,91.2329
0.6269,0.0000,0.0000,0.0000,0.6252,0.0016,200,91.8669
0.6258,0.0000,0.0000,0.0001,0.6247,0.0010,200,92.4937
0.6560,0.0000,0.0000,0.0001,0.6541,0.0018,200,93.1196
0.6156,0.0000,0.0000,0.0000,0.6137,0.0018,200,93.7755
0.6295,0.0000,0.0000,0.0001,0.6278,0.0017,200,94.3911
0.6164,0.0000,0.0000,0.0001,0.6146,0.0018,200,95.0207
0.6640,0.0000,0.0000,0.0001,0.6637,0.0002,200,95.6371
0.6636,0.0000,0.0000,0.0001,0.6616,0.0019,200,96.3012
0.6294,0.0000,0.0000,0.0001,0.6276,0.0017,200,96.9647
0.6335,0.0000,0.0000,0.0001,0.6271,0.0063,200,97.5941
0.6130,0.0000,0.0000,0.0001,0.6114,0.0015,200,98.2276
0.6716,0.0000,0.0000,0.0001,0.6707,0.0007,200,98.8407
0.6058,0.0000,0.0000,0.0000,0.6036,0.0021,200,99.5123
0.6241,0.0000,0.0000,0.0001,0.6224,0.0016,200,100.1180
0.6291,0.0000,0.0000,0.0000,0.6274,0.0016,200,100.7421
0.6202,0.0000,0.0000,0.0001,0.6185,0.0016,200,101.3712
0.6292,0.0000,0.0000,0.0001,0.6269,0.0022,200,101.9914
0.6373,0.0000,0.0000,0.0001,0.6362,0.0009,200,102.6206
0.6551,0.0000,0.0000,0.0001,0.6536,0.0014,200,103.2579
0.6146,0.0000,0.0000,0.0001,0.6128,0.0018,200,103.9130
0.6197,0.0000,0.0000,0.0001,0.6181,0.0014,200,104.5276
0.6394,0.0000,0.0000,0.0001,0.6383,0.0009,200,105.1473
0.6314,0.0000,0.0000,0.0001,0.6297,0.0016,200,105.7867
0.6384,0.0000,0.0000,0.0001,0.6367,0.0016,200,106.4181
0.6422,0.0000,0.0000,0.0002,0.6399,0.0021,200,107.0565
0.6672,0.0000,0.0000,0.0001,0.6658,0.0012,200,107.6988
0.6243,0.0000,0.0000,0.0000,0.6226,0.0017,200,108.3659
0.6238,0.0000,0.0000,0.0001,0.6229,0.0008,200,108.9903
0.6314,0.0000,0.0000,0.0000,0.6298,0.0016,200,109.6141
0.6273,0.0000,0.0000,0.0001,0.6259,0.0013,200,110.2455
0.6223,0.0000,0.0000,0.0001,0.6208,0.0014,200,110.8729
0.6200,0.0000,0.0000,0.0001,0.6180,0.0018,200,111.4952
0.6231,0.0000,0.0000,0.0000,0.6219,0.0011,200,112.1152
0.6282,0.0000,0.0000,0.0001,0.6272,0.0008,200,112.7383
0.6354,0.0000,0.0000,0.0000,0.6333,0.0020,200,113.3665
0.6321,0.0000,0.0000,0.0001,0.6299,0.0021,200,114.0018
0.6383,0.0000,0.0000,0.0001,0.6367,0.0015,200,114.6339
0.6147,0.0000,0.0000,0.0001,0.6129,0.0017,200,115.2723
0.6290,0.0000,0.0000,0.0001,0.6271,0.0018,200,115.8869
0.6243,0.0000,0.0000,0.0000,0.6226,0.0016,200,116.5159
0.6411,0.0000,0.0000,0.0000,0.6391,0.0018,200,117.1403
0.6418,0.0000,0.0000,0.0001,0.6403,0.0014,200,117.7814
